STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01105870,0.6796043279999999,0.4813863989999999,1.019406492,0.934455951,0.56633694,0.707921175,0.4813863989999999,0.707921175,0.707921175,0.8778222569999999,0.368119011,0.311485317,0.6796043279999999,1.019406492,0.9967530144,0.424752705,0.5097032459999999,0.8778222569999999,0.5946537869999999,0.651287481,0.764554869,0.707921175,0.651287481,0.651287481,0.6796043279999999,0.56633694,1.047723339,0.792871716,1.019406492,0.6796043279999999,0.6796043279999999,0.5946537869999999,0.622970634,1.2884165385,0.79428755835,1.4979612062999998,1.0420599696,0.4983765072,0.7758816077999999,1.4781394134,0.9401193204,0.991089645,0.5309408812499999,0.7334063372999999,0.5833270482,0.6994261209,0.4020992274,0.5804953635,1.1440006188,1.2034659975,0.7036736479499999
01055000,2.690100465,1.500792891,2.7892094295,4.983765072,3.39802164,2.690100465,3.5537642985,3.709506957,1.897228749,2.463565689,1.98217929,3.482972181,2.661783618,3.822774345,2.010496137,2.1605754261,2.973268935,2.237030913,1.642377126,2.26534776,4.870497684,3.143170017,2.406931995,1.500792891,1.755644514,2.605149924,4.502378673,2.576833077,2.860001547,3.766140651,2.4210904185,1.3422185478,1.4384958276,3.256437405,2.48197163955,3.313071099,4.190893356,2.6391301404,4.6581213315,3.879408039,3.228120558,3.624556416,3.596239569,3.511289028,3.058219476,2.6561202486,2.33755571985,2.5683380229,2.6164766628,3.001585782,2.2908329223
01116000,2.576833077,1.897228749,4.162576509,3.652873263,2.54851623,3.058219476,2.26534776,3.369704793,2.860001547,3.907724886,1.330891809,1.3592086559999998,3.284754252,3.313071099,3.3272295225,2.2964962917,2.435248842,2.378615148,2.746734159,4.190893356,3.567922722,3.794457498,3.0723778995,2.152080372,2.775051006,2.520199383,4.2616854735,3.199803711,3.426338487,3.199803711,2.9591105115,2.152080372,2.3078230305,4.304160744,3.2989126755,3.879408039,3.68119011,2.4154270491,4.3183191675,4.559012367,2.4890508513,3.794457498,2.50462511715,2.860001547,3.624556416,2.3899418868,2.41401120675,3.709506957,5.068715613,4.219210203,2.123763525
01193500,2.54851623,3.539605875,6.9234690914999995,6.116438952,4.332477591,5.040398766,3.0582194759999997,3.482972181,3.482972181,4.24752705,1.783961361,2.661783618,3.907724886,5.266933541999999,4.134259662,3.086536323,2.605149924,3.058219476,3.256437405,4.983765072,5.012081919,4.105942815,3.7661406509999997,3.171486864,3.256437405,2.973268935,5.040398766,2.661783618,3.737823804,3.256437405,3.11485317,2.067129831,2.180397219,5.068715613,3.9502001565000002,5.068715613,4.955448225,1.7188326129,4.502378673,5.153666154,2.6278034016,6.739409586,2.3219814540000003,3.454655334,4.219210203,1.9935060288,1.6990108199999998,3.341387946,6.597825351,5.323567236,3.8369327685
01173500,5.238616695,4.927131378,9.202975275,6.937627515,7.872083465999999,8.296836170999999,4.1484180854999995,7.050894903,5.097032459999999,10.505550237,2.3927735715000003,6.427924269,7.334063373,7.758816078,6.201389493,5.748319941,6.371290575,5.012081919,5.8757457525,7.362380219999999,9.089707887,8.353469865,7.404855490499999,5.94653787,7.64554869,6.22970634,12.374462139,5.210299848,6.031488411,5.889904176,7.07921175,4.332477591,3.936041733,8.353469865,5.776636788,10.675451319,8.240202477,4.927131378,9.939213297,10.250698614,5.833270482,15.092879451,4.728913449,6.286340034,6.654459044999999,4.502378673,2.973268935,6.880993821,14.498225664,7.164162290999999,6.4420826925
01186500,2.321981454,2.8316847,5.408517777,3.794457498,3.822774345,4.81386399,3.171486864,4.502378673,2.435248842,4.587329214,1.2317828445,1.755644514,2.321981454,3.822774345,2.8146945918000004,2.3276448234,3.256437405,2.860001547,2.8175262764999998,3.086536323,4.53069552,3.39802164,3.256437405,2.463565689,3.256437405,2.520199383,5.408517777,3.029902629,2.633466771,3.482972181,3.11485317,1.9708525512,2.1888922731,,,3.482972181,3.652873263,1.9198822266,4.672279755,3.96435858,3.171486864,5.181983001,2.5032092747999997,3.369704793,3.426338487,2.1379219485,1.4413275123,2.5881598158,4.955448225,3.426338487,3.256437405
01057000,1.840595055,1.189307574,2.293664607,4.559012367,2.916635241,1.98217929,3.001585782,2.208714066,1.189307574,1.868911902,0.8636638335,2.690100465,2.095446678,3.11485317,2.0218228758,1.1978026280999998,2.095446678,1.614060279,1.444159197,1.3592086559999998,2.8316847,2.038812984,1.5149513145,0.906139104,1.472476044,1.727327667,3.39802164,1.840595055,2.010496137,2.378615148,1.529109738,1.160990727,1.2487729527,1.6933474506,1.8788227984499999,2.54851623,3.511289028,1.529109738,3.7519822275,3.511289028,2.4267537879,2.6221400322,2.44515973845,2.5711697076,2.208714066,1.7641395680999998,1.8519217938,2.1265952097,1.8207732621,2.8090312224,2.0218228758
01176000,3.511289028,3.029902629,9.995846991,7.022578056,7.390697067,7.503964455,3.454655334,5.238616695,3.96435858,8.806539417,2.491882536,4.587329214,4.955448225,8.495054099999999,5.351884083,5.351884083,5.550102012,4.81386399,5.0828740365,6.427924269,8.721588876,8.466737253,5.097032459999999,4.162576509,5.94653787,4.81386399,10.788718707000001,3.96435858,4.643962908,4.587329214,4.53069552,2.860001547,3.341387946,7.957034007,5.6208941295,9.995846991,7.050894903,4.077625968,9.146341581,7.050894903,3.879408039,11.04357033,4.389111285,5.436834623999999,5.181983001,3.171486864,3.1290115934999996,5.776636788,9.712678521,7.588914996,5.691686247
01204000,1.670693973,2.378615148,4.474061826,3.426338487,3.143170017,4.24752705,2.944952088,1.98217929,1.953862443,3.341387946,1.160990727,1.529109738,2.095446678,3.68119011,2.1662387955,1.7244959823,1.529109738,2.491882536,1.897228749,2.916635241,3.624556416,2.860001547,2.321981454,2.038812984,3.058219476,2.605149924,4.53069552,2.8316847,2.775051006,2.775051006,2.6759420415,1.500792891,1.4300007735,4.077625968,2.3106547152,2.916635241,3.256437405,1.4101789805999998,3.709506957,3.596239569,1.9878426594,4.842180837,1.93828817715,2.0897833086,2.1577437414,1.3931888724,0.9684361673999999,1.7414860905,3.992675427,3.001585782,2.70001136145
01116500,6.484557962999999,4.81386399,10.562183931,11.241788259,5.6633694,9.146341581,5.550102012,7.730499231,7.249112832,10.562183931,3.822774345,3.596239569,8.749905723,9.882579603,9.089707887,4.898814531,5.38020093,5.606735706,5.6775278235,8.721588876,10.618817625,9.939213297,7.702182383999999,5.635052553,6.399607422,5.635052553,10.8595108245,7.64554869,7.334063373,7.220795985,6.994261209,5.153666154,4.587329214,8.353469865,7.2349544085,10.618817625,8.636638334999999,6.059805258,9.245450545499999,12.091293669,5.748319941,11.213471412,5.9890131405,6.314656881,6.456241116,5.125349307,5.635052553,8.580004641,12.006343128,11.666540964,5.6633694000000006
